Acacia ,,,,G1203,Acacia Knifeblade,,0.9,9.00,10,1,,Weighted,Bu
Acacia ,,,,G2037,Acacia Pearl,,1.998,9.99,5,1,,Weighted,Bu
Acacia ,,,,G1365,Acacia Purple Fernleaf,,1.998,9.99,5,1,,Weighted,Bu
Acacia   ,,,,38986,Acacia Mimosa Ylw 150g It/Fr,,2.998,14.99,5,1,,Weighted,Bu
Acacia   ,,,,22009,Acacia Mimosa Ylw 200g It/Fr,,3.998,19.99,5,1,,Weighted,Bu
Allium,,,,26179,Allium Prp Gladiator Dutch,,2.99,2.99,1,10,,,Stem
Anthurium,,,,36213,Anthurium Assorted Medium 15pk,,6.99,6.99,1,15,,,Stem
Anthurium,,,,10025,Anthurium Blush Maui Bride 10p,,7.99,7.99,1,10,,,Stem
Anthurium,,,,17364,Anthurium Orange Medium 10pk,,6.99,6.99,1,10,,,Stem
Anthurium,,,,31387,Anthurium Purple Tulip Med 10p,,6.99,6.99,1,10,,,Stem
Anthurium,,,,34254,Anthurium Red Dark Large 10pk,,7.99,7.99,1,10,,,Stem
Anthurium,,,,37926,Anthurium Red Dark Medium 10pk,,6.99,6.99,1,10,,,Stem
Anthurium,,,,30180,Anthurium Red Dark Small 15pk,,6.99,6.99,1,15,,,Stem
Anthurium,,,,46412,Anthurium Red Large Haw. 10pk,,7.99,7.99,1,10,,,Stem
Anthurium,,,,33255,Anthurium Red Medium 10pk,,6.99,6.99,1,10,,,Stem
Anthurium,,,,31455,Anthurium Red Small 15pk,,5.99,5.99,1,15,,,Stem
Anthurium,,,,10074,Anthurium White Large 10pk,,9.99,9.99,1,10,,,Stem
Anthurium,,,,10075,Anthurium White Medium 10pk,,8.99,8.99,1,10,,,Stem
Aster,,,,31190,Aster Assorted Mardi Gras 10pk,,1.958,9.79,5,10,,,Bu
Aster,,,,29751,Aster Asst Carnival Duplo Cs8,,0.979,9.79,10,8,,,Bu
Aster,,,,58956,Aster Crm Estelle Solidago 5pk,,0.579,5.79,10,5,,,Bu
Aster,,,,29692,Aster Matsumoto Pink Hot 10st,,0.999,9.99,10,1,,,Bu
Aster,,,,29693,Aster Matsumoto Pink Light 10s,,0.999,9.99,10,1,,,Bu
Aster,,,,29698,Aster Matsumoto Red 10st,,0.999,9.99,10,1,,,Bu
Aster,,,,29697,Aster Matsumoto White 10st,,0.999,9.99,10,1,,,Bu
Aster,,,,20530,Aster Purple,,0.499,4.99,10,1,,,Bu
Aster,,,,26404,Aster Purple Mardi Gras,,2.4,12.00,5,1,,,Bu
Aster,,,,26779,Aster White Mardi Gras,,2.4,12.00,5,1,,,Bu
Aster,,,,60579,Aster White Sunspring,,0.499,4.99,10,1,,,Bu
Aster,,,,56855,Aster Yellow Solidago,,0.499,4.99,10,1,,,Bu
Aster,,,,20591,Aster Yellow Solidago Mardi Gr,,2.4,12.00,5,1,,,Bu
Aster,,,,20551,Aster Yellow Solidago Queen's,,0.499,4.99,10,1,,,Bu
Astrantia,,,,12645,Astrantia Pink Dutch,,0.999,9.99,10,1,,,Bu
Baby's Breath,,,,29327,Gypsophila Cosmic,,1.798,8.99,5,1,,weighted,Bu
Baby's Breath,,,,46980,Gypsophila Cosmic 10pk,,1.458,7.29,5,10,,weighted,Bu
Baby's Breath,,,,29328,Gypsophila Excellence 6pk,,1.558,7.79,5,6,,weighted,Bu
Baby's Breath,,,,29337,Gypsophila Excellence Pyg 6pk,,1.598,7.99,5,6,,weighted,Bu
Baby's Breath,,,,17738,Gypsophila Grandtastic 6pk,,1.798,8.99,5,6,,weighted,Bu
Baby's Breath,,,,17691,Gypsophila Wild Pearl 6pk,,1.658,8.29,5,6,,weighted,Bu
Bells of Ireland  ,,,,21484,Bells of Ireland 70-80cm,,1.299,12.99,10,1,,,Bu
Bells of Ireland  ,,,,32232,Bells of Ireland 90cm,,1.499,14.99,10,1,,,Bu
Berry Black Navajo 40/60cm Chi,,,,35588,Berry Black Navajo 40/60cm Chi,,4.998,24.99,5,1,,weighted,Bu
Berry Date Palm Green 5stm,,,,28162,Berry Date Palm Green 5stm,,1.798,8.99,5,1,,,Bu
Berzelia,,,,33149,Berzelia Green 10st California,,1.199,11.99,10,1,,,Bu
Berzelia,,,,32902,Berzelia Green Galpini Baubles,,1.999,19.99,10,1,,,Bu
Berzelia,,,,35251,Berzelia Strawberry,,1.999,19.99,10,1,,,Bu
Bird of Paradise ,,,,34127,Bird of Paradise Super 20pk,,3.49,3.49,1,20,,,Stem
Bouquet Tropical ,,,,45493,Bouquet Tropical Flat Orion 65,,15.99,15.99,1,2,,,Bu
Bouquet Tropical ,,,,45495,Bouquet Tropical Round Snow 50,,19.99,19.99,1,2,,,Bu
Branch Kiwi Vine,,,,28262,Branch Kiwi Vine,,0.999,9.99,10,1,,,Bu
Branch Sumac,,,,39503,Branch Sumac,,2.198,10.99,5,1,,Weighted,Bu
Butterfly Ranunculus,,,,35433,Ranunculus Bfly Asst 10st 5pk,,3.3,33.00,10,5,,,Bu
Butterfly Ranunculus,,,,45250,Ranunculus Bfly Blush 10st Can,,3.3,33.00,10,1,,,Bu
Butterfly Ranunculus,,,,45252,Ranunculus Bfly Crm Graces 10s,,3.3,33.00,10,1,,,Bu
Butterfly Ranunculus,,,,45251,Ranunculus Bfly Org Minoan 10s,,3.3,33.00,10,1,,,Bu
Butterfly Ranunculus,,,,42828,Ranunculus Bfly Pk Melissa 10s,,3.3,33.00,10,1,,,Bu
Butterfly Ranunculus,,,,57278,Ranunculus Bfly Prp Thiva 10st,,3.3,33.00,10,1,,,Bu
Butterfly Ranunculus,,,,42829,Ranunculus Bfly Sal Eris 10st,,3.3,33.00,10,1,,,Bu
Butterfly Ranunculus,,,,69716,Ranunculus Bfly Vestalis 10st,,3.3,33.00,10,1,,,Bu
Calendula  ,,,,28044,Calendula Orange,,0.899,8.99,10,1,,,Bu
Calendula  ,,,,26688,Calendula Yellow,,0.899,8.99,10,1,,,Bu
Calla Lily,,,,20598,Calla Lily White Local,,7.99,7.99,1,5,,,Stem
Calla Lily,,,,33998,Calla Lily Wht Magnum,,3.99,3.99,1,1,,,Stem
Calla Lily,,,,20656,Calla Lily Wht Open 80/90 20pk,,2.49,2.49,1,20,,,Stem
Calla Lily,,,,17760,Calla Lily Wht Open 90cm 25pk,,2.69,2.69,1,25,,,Stem
Calla Lily,,,,20643,Calla Lily Wht Open Prem 80/90,,2.99,2.99,1,1,,,Stem
Calla Lily Mini,,,,36586,Calla Lily Mini Blk Odessa 50c,,2.29,2.29,1,1,,,Stem
Calla Lily Mini,,,,38290,Calla Lily Mini Burg Sumatra 5,,2.29,2.29,1,1,,,Stem
Calla Lily Mini,,,,38337,Calla Lily Mini Pink Hot 50cm,,2.29,2.29,1,1,,,Stem
Calla Lily Mini,,,,38092,Calla Lily Mini Red Maj. 50/55,,2.29,2.29,1,1,,,Stem
Calla Lily Mini,,,,39874,Calla Lily Mini White 40cm,,1.99,1.99,1,1,,,Stem
Calla Lily Mini,,,,39911,Calla Lily Mini White 50cm,,2.29,2.29,1,1,,,Stem
Calla Lily Mini,,,,28609,Calla Lily Mini Wht Iv Art 55+,,2.49,2.49,1,1,,,Stem
Carnation,,,,60519,Carn Moon Select Asst 80pk,,0.79,0.79,1,80,,,0.79
Carnation,,,,37119,Carnation Antiqua,,0.54,0.59,1,25,,,Stem
Carnation,,,,20732,Carnation Brt Rendez/Komachi,,0.54,0.58,1,25,,,Stem
Carnation,,,,20771,Carnation Burgundy,,0.54,0.56,1,25,,,Stem
Carnation,,,,65781,Carnation Caramel,,0.54,0.59,1,25,,,Stem
Carnation,,,,68378,Carnation Cover,,0.54,0.59,1,25,,,Stem
Carnation,,,,20734,Carnation Cream,,0.54,0.59,1,25,,,Stem
Carnation,,,,50616,Carnation Creola,,0.54,0.94,1,25,,,Stem
Carnation,,,,37109,Carnation Green,,0.54,0.68,1,25,,,Stem
Carnation,,,,62801,Carnation Lav Farida 75pk,,0.54,0.52,1,75,,,Stem
Carnation,,,,58013,Carnation Lavender,,0.54,0.56,1,25,,,Stem
Carnation,,,,50878,Carnation Lege Sport 50pk,,0.54,0.64,1,50,,,Stem
Carnation,,,,54812,Carnation Mariposa,,0.54,0.59,1,25,,,Stem
Carnation,,,,62797,Carnation Nobbio Cherry 75pk,,0.54,0.60,1,75,,,Stem
Carnation,,,,66053,Carnation Orange,,0.54,0.58,1,25,,,Stem
Carnation,,,,52192,Carnation Org Trueno 75pk,,0.54,0.49,1,75,,,Stem
Carnation,,,,20748,Carnation Peach,,0.54,0.68,1,25,,,Stem
Carnation,,,,65802,Carnation Peach Lege Marrn 75p,,0.54,0.54,1,75,,,Stem
Carnation,,,,50879,Carnation Peach Lizi 50pk,,0.54,0.64,1,50,,,Stem
Carnation,,,,20751,Carnation Pink,,0.54,0.56,1,25,,,Stem
Carnation,,,,50880,Carnation Pink Doncel 50pk,,0.54,0.64,1,50,,,Stem
Carnation,,,,48606,Carnation Pink Doncel pk75,,0.54,0.52,1,75,,,Stem
Carnation,,,,57635,Carnation Pink Lege,,0.54,0.94,1,25,,,Stem
Carnation,,,,56042,Carnation Pink-Hot,,0.54,0.66,1,25,,,Stem
Carnation,,,,60522,Carnation Purple,,0.54,0.64,1,25,,,Stem
Carnation,,,,62061,Carnation Purple Golem 75pk,,0.54,0.52,1,75,,,Stem
Carnation,,,,20757,Carnation Red,,0.54,0.56,1,25,,,Stem
Carnation,,,,20710,Carnation Select Moon Aqua,,0.89,0.89,1,20,,,Stem
Carnation,,,,20711,Carnation Select Moon Lite,,0.89,0.89,1,20,,,Stem
Carnation,,,,20712,Carnation Select Moon Shade,,0.89,0.89,1,20,,,Stem
Carnation,,,,20713,Carnation Select Moon Vista,,0.89,0.89,1,20,,,Stem
Carnation,,,,54837,Carnation Spritz Sport,,0.54,0.58,1,25,,,Stem
Carnation,,,,20763,Carnation White,,0.54,0.56,1,25,,,Stem
Carnation,,,,28125,Carnation White Fancy 175pk,,0.54,0.49,1,175,,,Stem
Carnation,,,,68374,Carnation Yellow,,0.54,0.56,1,25,,,Stem
Chrysanthemum,,,,59322,Mum Dis Ball Pch Sorbet Berry,,1.2,12.00,10,1,,,Bu
Chrysanthemum,,,,57124,Mum Dis Ball Pink Lorax 5stm,,1.2,6.00,5,1,,,Bu
Chrysanthemum,,,,68170,"Mum Dis Ball Prp Gustav, 5st",,1.2,6.00,5,1,,,Bu
Chrysanthemum,,,,59327,Mum Dis Ball White Evidence,,1.2,12.00,10,1,,,Bu
Chrysanthemum,,,,50827,Mum Dis Ball Wht Zonar 5st 4pk,,1,5.00,5,4,,,Bu
Chrysanthemum,,,,59146,Mum Dis Ball Yellow Paladov,,1.599,15.99,10,1,,,Bu
Chrysanthemum,,,,21950,Mum Disbud Assorted 9pk,,0.799,7.99,10,9,,,Bu
Chrysanthemum,,,,61206,Mum Disbud Asst 4pk,,0.879,8.79,10,4,,,Bu
Chrysanthemum,,,,18420,Mum Disbud BiClr Rasp Brulee E,,1.399,13.99,10,1,,,Bu
Chrysanthemum,,,,18361,Mum Disbud Bronze Marrakesh 3p,,1.299,12.99,10,3,,,Bu
Chrysanthemum,,,,59464,Mum Disbud Crm Caffe Latte ECU,,1.399,13.99,10,1,,,Bu
Chrysanthemum,,,,59336,Mum Disbud Lavender Lotus,,1.049,10.49,10,1,,,Bu
Chrysanthemum,,,,59300,Mum Disbud Peach Linette 4pk,,0.739,7.39,10,4,,,Bu
Chrysanthemum,,,,59035,Mum Disbud Peach Linette ECU,,1.349,13.49,10,1,,,Bu
Chrysanthemum,,,,49694,Mum Disbud Pink Honeymoon Ecu,,1.299,12.99,10,1,,,Bu
Chrysanthemum,,,,54594,Mum Disbud Pink Petruska,,1.099,10.99,10,1,,,Bu
Chrysanthemum,,,,57933,Mum Disbud Purple Andrea,,1.149,11.49,10,1,,,Bu
Chrysanthemum,,,,51809,Mum Disbud Purple Bachata 4pk,,0.699,6.99,10,4,,,Bu
Chrysanthemum,,,,18534,Mum Disbud Purple Tornado 4pk,,0.699,6.99,10,4,,,Bu
Chrysanthemum,,,,18572,Mum Disbud Salm.Prdgy Coral,,1.399,13.99,10,1,,,Bu
Chrysanthemum,,,,50812,Mum Disbud Salmon Pink ECU 3pk,,1.169,11.69,10,3,,,Bu
Chrysanthemum,,,,18586,Mum Disbud Tinted Blue,,0.819,8.19,10,9,,,Bu
Chrysanthemum,,,,62839,Mum Disbud White Arctic Qn 4pk,,0.899,8.99,10,4,,,Bu
Chrysanthemum,,,,54694,Mum Disbud White Arctic Qn 9pk,,1.059,10.59,10,9,,,Bu
Chrysanthemum,,,,49581,Mum Disbud White Arctic Queen,,0.999,9.99,10,1,,,Bu
Chrysanthemum,,,,54873,Mum Disbud White Gagarin ECU,,1.199,11.99,10,1,,,Bu
Chrysanthemum,,,,57127,Mum Disbud White Magnum,,0.999,9.99,10,1,,,Bu
Chrysanthemum,,,,18525,Mum Disbud White Magnum 4pk,,0.759,7.59,10,4,,,Bu
Chrysanthemum,,,,50842,Mum Disbud White Tatto 4pk,,0.779,7.79,10,4,,,Bu
Chrysanthemum,,,,51799,Mum Disbud Yellow,,0.979,9.79,10,1,,,Bu
Chrysanthemum,,,,74478,Mum Disbud Yellow Astroid,,1.49,1.49,1,10,,,Stem
Chrysanthemum,,,,62834,Mum Disbud Yellow Astroid 4pk,,0.829,8.29,10,4,,,Bu
Chrysanthemum,,,,46971,Mum Spider Green,,1.099,10.99,10,1,,,Bu
Chrysanthemum,,,,37301,Mum Spider Green Dark,,0.999,9.99,10,1,,,Bu
Chrysanthemum,,,,50012,Mum Spider Lav. Anas DVFl 4pk,,0.739,7.39,10,4,,,Bu
Chrysanthemum,,,,22000,Mum Spider Lavender,,0.899,8.99,10,1,,,Bu
Chrysanthemum,,,,55393,Mum Spider Pink,,0.999,9.99,10,1,,,Bu
Chrysanthemum,,,,54595,Mum Spider Pink Anastasia,,1.099,10.99,10,1,,,Bu
Chrysanthemum,,,,58642,Mum Spider Pink Hydra 5pk,,0.729,7.29,10,5,,,Bu
Chrysanthemum,,,,62888,Mum Spider Purple 5pk,,0.649,6.49,10,5,,,Bu
Chrysanthemum,,,,37374,Mum Spider White,,1.199,11.99,10,1,,,Bu
Chrysanthemum,,,,67635,Mum Spider White Yazoo 12pk,,0.689,6.89,10,12,,,Bu
Chrysanthemum,,,,21963,Mum Spider White Yazoo 9pk,,0.749,7.49,10,9,,,Bu
Chrysanthemum,,,,21988,Mum Spider Yellow,,0.999,9.99,10,1,,,Bu
Chrysanthemum,,,,46974,Mum Spider Yellow 4pk,,0.959,9.59,10,4,,,Bu
Chrysanthemum,,,,21943,Mum Spider Yellow Anastasia,,0.899,8.99,10,1,,,Bu
Clematis,,,,57796,Clematis Amazing Kibo,,1.499,14.99,10,1,,,Bu
Clematis,,,,40302,Clematis Lavender,,2.499,24.99,10,1,,,Bu
Clematis,,,,57535,Clematis Pink Dark,,1.499,14.99,10,1,,,Bu
Clematis,,,,41322,Clematis Pink Lt Kansas 10st,,2.999,29.99,10,1,,,Bu
Clematis,,,,57226,Clematis Purple,,1.499,14.99,10,1,,,Bu
Coontie Fern,,,,G1246,Coontie Fern,,1.358,6.79,5,1,,weighted,Bu
Cornflower,,,,21505,Cornflower Blue California,,0.899,8.99,10,1,,,Bu
Cosmos,,,,47816,Cosmos Chocolate Choco 10st,,1.999,19.99,10,1,,,Bu
Curly Willow,,,,G1125,Willow Curly Large,,3.598,17.99,5,1,,,Bu
Curly Willow,,,,G1128,Willow Curly Medium,,2.598,12.99,5,1,,,Bu
Cymbidium,,,,45384,Cymbidium Asst 8/11 10pk,,24.99,24.99,1,10,,,Stem
Cymbidium,,,,32537,Cymbidium Brown 8/12,,39.99,39.99,1,1,,,Stem
Cymbidium,,,,35979,Cymbidium Burgundy 8/11 Bloom,,27.99,27.99,1,1,,,Stem
Cymbidium,,,,46355,Cymbidium Green Brg Lip 8/11,,27.99,27.99,1,1,,,Stem
Cymbidium,,,,25939,Cymbidium Mini Burgundy,,17.99,17.99,1,1,,,Stem
Cymbidium,,,,31136,Cymbidium Mini Grn RdLip 40cm+,,17.99,17.99,1,1,,,Stem
Cymbidium,,,,10098,Cymbidium Mini Pink 40cm+,,17.99,17.99,1,1,,,Stem
Cymbidium,,,,31269,Cymbidium Mini Yellow Red Lip,,17.99,17.99,1,1,,,Stem
Cymbidium,,,,29599,Cymbidium Orange 8/11,,27.99,27.99,1,1,,,Stem
Cymbidium,,,,46362,Cymbidium Pink-Dark 8/12+,,27.99,27.99,1,1,,,Stem
Cymbidium,,,,46359,Cymbidium White Pink Lip 8/11,,27.99,27.99,1,1,,,Stem
Cymbidium,,,,46363,Cymbidium Ylw Red Lip 8/11,,27.99,27.99,1,1,,,Stem
Daffodil,,,,22060,Daffodil Ylw Carlton Dutch,,0.999,9.99,10,1,,,Bu
Daffodil,,,,22061,Daffodil Ylw Dutch Master Dut,,0.999,9.99,10,1,,,Bu
Daffodil,,,,22059,Daffodil Ylw Field Bunch,,0.349,3.49,10,1,,,Bu
Dahlia,,,,32238,Dahlia Brg Naomi 5st Californi,,5.398,26.99,5,1,,,Bu
Dahlia,,,,20893,Dahlia Orange Maarn 5st Cali,,5.398,26.99,5,1,,,Bu
Dahlia,,,,42180,Dahlia Purple Ivanetti 5st Cal,,5.398,26.99,5,1,,,Bu
Dahlia,,,,48882,Dahlia Red Dark Cornel 5st,,5.398,26.99,5,1,,,Bu
Delphinum,,,,33114,Delph Blue-Dk Sea Waltz 60/70,,1.499,14.99,10,1,,,Bu
Delphinum,,,,35608,Delph Blue-Dk Sea Waltz 70/90,,1.599,15.99,10,1,,,Bu
Delphinum,,,,39944,Delph Blue-Dk SeaWaltz 60cm 6p,,0.999,9.99,10,6,,,Bu
Delphinum,,,,61232,Delph Blue-Dk Waltz 55cm 6p,,0.699,6.99,10,6,,,Bu
Delphinum,,,,20951,Delph Blue-Lt Sky Waltz 60-70c,,1.699,16.99,10,1,,,Bu
Delphinum,,,,33091,Delph Blue-Lt Sky Waltz 60cm,,1.499,14.99,10,1,,,Bu
Delphinum,,,,34903,Delph Blue-Lt Sky Waltz 70/90c,,1.599,15.99,10,1,,,Bu
Delphinum,,,,39119,Delph Hyb Blue-Dk 70/80cm/10St,,1.499,14.99,10,1,,,Bu
Delphinum,,,,38353,Delph Hyb Blue-Dk Pacif60c/10s,,1.099,10.99,10,1,,,Bu
Delphinum,,,,38354,Delph Hyb Blue-Dk Pacif70c/10s,,1.299,12.99,10,1,,,Bu
Delphinum,,,,38355,Delph Hyb Blue-Dk Pacif80/90cm,,2.798,13.99,5,1,,,Bu
Delphinum,,,,39133,Delph Hyb Blue-Lt 80/90cm/10St,,1.499,14.99,10,1,,,Bu
Delphinum,,,,38362,Delph Hyb Blue-Lt Pacif 60c/10,,1.099,10.99,10,1,,,Bu
Delphinum,,,,38363,Delph Hyb Blue-Lt Pacif 70c/10,,1.299,12.99,10,1,,,Bu
Delphinum,,,,38364,Delph Hyb Blue-Lt Pacif 80c/10,,1.399,13.99,10,1,,,Bu
Delphinum,,,,39075,Delph Hyb Lav Pacif70c/10s,,1.299,12.99,10,1,,,Bu
Delphinum,,,,39076,Delph Hyb Lav Pacif80c/10s,,1.399,13.99,10,1,,,Bu
Delphinum,,,,39079,Delph Hyb Pink Pacif70c/10s,,1.299,12.99,10,1,,,Bu
Delphinum,,,,39080,Delph Hyb Pink Pacif80c/10s,,1.399,13.99,10,1,,,Bu
Delphinum,,,,39083,Delph Hyb Prpl BlkK Pacif70c/,,2.598,12.99,5,1,,,Bu
Delphinum,,,,38139,Delph Hyb White 80/90cm 10stm,,1.499,14.99,10,1,,,Bu
Delphinum,,,,38366,Delph Hyb White Pacif 60c/10s,,1.099,10.99,10,1,,,Bu
Delphinum,,,,38367,Delph Hyb White Pacif 70c/10st,,1.299,12.99,10,1,,,Bu
Delphinum,,,,38368,Delph Hyb White Pacif 80c/10st,,1.399,13.99,10,1,,,Bu
Delphinum,,,,41454,Delph Hyb Wht Full Moon 120cm,,2.499,24.99,10,1,,,Bu
Delphinum,,,,34167,Delph Hybrid Asst 60cm 6pk,,1.299,12.99,10,6,,,Bu
Delphinum,,,,20993,Delph Lavender Serene 70cm,,1.599,15.99,10,1,,,Bu
Delphinum,,,,33392,Delph White Andes Bella,,1.599,15.99,10,1,,,Bu
Delphinum,,,,36374,Delph White-Royal 60/70 Vflor,,1.499,14.99,10,1,,,Bu
Dendrobium,,,,10111,Dendrobium Asst Mix Tray 5pk,,2.499,24.99,10,5,,,Bu
Dendrobium,,,,10218,Dendrobium Asst Mx Bouquet 3st,,0.699,6.99,10,5,,,Each
Dendrobium,,,,10101,Dendrobium Blue Amy Super,,2.699,26.99,10,1,,,Bu
Dendrobium,,,,29083,Dendrobium Blue Vanda Stem,,17.99,17.99,1,1,,,Stem
Dendrobium,,,,45898,Dendrobium Green Jade SL/L,,2.999,29.99,10,1,,,Bu
Dendrobium,,,,10110,Dendrobium James Storei,,3.499,34.99,10,1,,,Bu
Dendrobium,,,,46118,Dendrobium Lady Pink,,2.699,26.99,10,1,,,Bu
Dendrobium,,,,45904,Dendrobium Lav/Wh Misteen long,,2.699,26.99,10,1,,,Bu
Dendrobium,,,,45988,Dendrobium Mokara Calypso 5st,,3.598,17.99,5,1,,,Bu
Dendrobium,,,,45511,Dendrobium Mokara Org 5st SL/L,,3.598,17.99,5,1,,,Bu
Dendrobium,,,,10116,Dendrobium Mokara Pink Lt 5st,,3.598,17.99,5,1,,,Bu
Dendrobium,,,,40076,Dendrobium Mokara Pur Nora 5st,,3.598,17.99,5,1,,,Bu
Dendrobium,,,,46268,Dendrobium Mokara Ylw 5st SL/L,,3.598,17.99,5,1,,,Bu
Dendrobium,,,,45967,Dendrobium Prp. Madame SL/L BO,,2.799,27.99,10,1,,,Bu
Dendrobium,,,,10120,Dendrobium Purple Super,,2.699,26.99,10,1,,,Bu
Dendrobium,,,,45966,Dendrobium Var. BOM SL/L B,,2.799,27.99,10,1,,,Bu
Dendrobium,,,,10124,Dendrobium Variegated Super,,2.699,26.99,10,1,,,Bu
Dendrobium,,,,10705,Dendrobium White Big Med BO,,2.499,24.99,10,1,,,Bu
Dendrobium,,,,45897,Dendrobium White Big SL/L BO,,2.799,27.99,10,1,,,Bu
Dendrobium,,,,10125,Dendrobium White Regular,,2.299,22.99,10,1,,,Bu
Dendrobium,,,,10126,Dendrobium White Super,,2.499,24.99,10,1,,,Bu
Dianthus,,,,38004,Dianthus Amazon Burgundy,,0.999,9.99,10,1,,,Bu
Dianthus,,,,31690,Dianthus Amazon Cherry,,0.999,9.99,10,1,,,Bu
Dianthus,,,,38002,Dianthus Amazon Coral,,0.999,9.99,10,1,,,Bu
Dianthus,,,,39843,Dianthus Amazon Pink-Lt,,0.999,9.99,10,1,,,Bu
Dianthus,,,,31947,Dianthus Amazon Purple,,0.999,9.99,10,1,,,Bu
Dianthus,,,,38003,Dianthus Amazon Var Pk/Wt,,0.999,9.99,10,1,,,Bu
Dianthus,,,,38127,Dianthus Amazon White,,0.999,9.99,10,1,,,Bu
Dianthus,,,,18425,Dianthus Ball Breanth Jolly 4p,,1.039,10.39,10,4,,,Bu
Dianthus,,,,18426,Dianthus Ball Breanth White 4p,,1.039,10.39,10,4,,,Bu
Dianthus,,,,38054,Dianthus Green Trick 4pk,,1.349,13.49,10,4,,,Bu
Dianthus,,,,38789,Dianthus Green Trick 50-60cm,,1.499,14.99,10,1,,,Bu
Equisetum Rush,,,,G1033,Equisetum Rush,,0.699,6.99,10,1,,,Bu
Eucalyptus ,,,,G1334,Eucalyptus Assorted 9pk,,1.998,9.99,5,9,,weighted,Bu
Eucalyptus ,,,,G1903,Eucalyptus Baby Blue 4pk,,1.598,7.99,5,4,,weighted,Bu
Eucalyptus ,,,,G1543,Eucalyptus Baby Blue 5pk,,1.598,7.99,5,5,,weighted,Bu
Eucalyptus ,,,,G1703,Eucalyptus Baby-Blue Bqt 7pk,,1.598,7.99,5,7,,weighted,Bu
Eucalyptus ,,,,G1548,Eucalyptus Feather Willow 5pk,,2.398,11.99,5,5,,weighted,Bu
Eucalyptus ,,,,G2212,Eucalyptus Gum Drop,,2.598,12.99,5,1,,weighted,Bu
Eucalyptus ,,,,G1544,Eucalyptus Gunnii 5pk,,1.998,9.99,5,5,,weighted,Bu
Eucalyptus ,,,,G2127,Eucalyptus Parvifolia Californ,,1.998,9.99,5,1,,weighted,Bu
Eucalyptus ,,,,G1358,Eucalyptus Seeded 5pk,,1.798,8.99,5,5,,weighted,Bu
Eucalyptus ,,,,G1037,Eucalyptus Seeded Naked,,2.598,12.99,5,1,,weighted,Bu
Eucalyptus ,,,,G1376,Eucalyptus Silver Dollar 10pk,,1.358,6.79,5,10,,weighted,Bu
Eucalyptus ,,,,G1524,Eucalyptus Silver Dollar 5pk,,1.398,6.99,5,5,,weighted,Bu
Eucalyptus ,,,,G2217,Eucalyptus Stuartiana Italian,,2.598,12.99,5,1,,weighted,Bu
Eucalyptus ,,,,G1049,Eucalyptus True Blue,,2.198,10.99,5,1,,weighted,Bu
Euonymous Variegated,,,,G1984,Euonymous Variegated,,2.398,11.99,5,1,,weighted,Bu
Evergreen,,,,G1345,Carolina Sapphire,,1.258,6.29,5,1,,weighted,Bu
Evergreen,,,,G1018,Cedar Port Orford Bunched,,1.398,6.99,5,1,,weighted,Bu
Foxglove,,,,50069,Foxglove Peach,,1.299,12.99,10,1,,,Bu
Freesia,,,,12904,Freesia Lavender Dbl Canada,,1.199,11.99,10,1,,,Bu
Freesia,,,,31904,Freesia Purple Canada,,0.999,9.99,10,1,,,Bu
Freesia,,,,41105,Freesia White Dbl Canada,,1.199,11.99,10,1,,,Bu
Freesia,,,,28443,Freesia Yellow Dbl Canada,,1.199,11.99,10,1,,,Bu
French Tulip,,,,27085,FR Tulip Pch Menton Dutch,,2.499,24.99,10,1,,,Bu
French Tulip,,,,27083,FR Tulip Wht Maureen Dutch,,2.499,24.99,10,1,,,Bu
Garden Rose ,,,,40952,Garden Rose Gold Mustard x12,,2.69,2.69,1,12,,,Stem
Garden Rose ,,,,37158,Garden Rose HPk Baronesse x12,,2.99,2.99,1,12,,,Stem
Garden Rose ,,,,32385,Garden Rose HPk Yves Piage x12,,2.99,2.99,1,12,,,Stem
Garden Rose ,,,,47769,Garden Rose Pch Juliet x12,,3.99,3.99,1,12,,,Stem
Garden Rose ,,,,37310,Garden Rose Pk Romantic An x12,,2.99,2.99,1,12,,,Stem
Garden Rose ,,,,37836,Garden Rose Wht Alabaster x12,,3.99,3.99,1,12,,,Stem
Garden Rose ,,,,67266,Garden Rose Wht Cloud x12,,3.39,3.39,1,12,,,Stem
Garden Rose ,,,,40175,Garden Rose Wht O'Hara cs50,,2.89,2.89,1,50,,,Stem
Garden Rose ,,,,39882,Garden Rose Wht Patience x12,,3.99,3.99,1,12,,,Stem
Garden Rose ,,,,37309,Garden Rose Wht Pr. Miyuki x12,,3.69,3.69,1,12,,,Stem
Garden Rose ,,,,40862,Garden Rose Wht Purity x12,,3.99,3.99,1,12,,,Stem
Garden Spray Rose,,,,42520,Garden Spray Wht Blanche 6st,,4.665,27.99,6,1,,,Bu
Garden Spray Rose,,,,49964,Garden SpRose Loli x6st,,4.665,27.99,6,1,,,Bu
Gardenia Foliage,,,,33448,Gardenia Foliage,,1.699,16.99,10,1,,,Bu
Gardenia White,,,,10127,Gardenia White,,10.99,10.99,1,3,,,Stem
Gerbera,,,,27159,Gerbera Burgundy Amarone DC,,1.79,1.79,1,10,,,Stem
Gerbera,,,,55410,Gerbera Burgundy Humberto DC,,1.79,1.79,1,10,,,Stem
Gerbera,,,,63324,Gerbera Coral Treasure LC,,1.79,1.79,1,10,,,Stem
