,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Color,Variety,Category,40cm,50cm,60cm,70cm,,Color,Variety,Category,40cm,50cm,60cm,70cm
,,Tibet,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Tibet,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Vendela,Premium,$0.26,$0.34,$0.38,$0.44,,,Vendela,Premium,$0.29,$0.37,$0.42,$0.48
,,White O'Hara,Garden,$0.55,$0.70,$0.80,,,,White O'Hara,Garden,$0.61,$0.77,$0.88,
,Bicolor White - Pink,Paloma,Super Premium,$0.32,$0.38,$0.44,$0.50,,Bicolor White - Pink,Paloma,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Magic Times,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Magic Times,Super Premium,$0.35,$0.42,$0.48,$0.55
,Bicolor White - Hot Pink,Sweetness,Premium,$0.26,$0.34,$0.38,$0.44,,Bicolor White - Hot Pink,Sweetness,Premium,$0.29,$0.37,$0.42,$0.48
,Bicolor Pink - Hot Pink,Lady Amira,Super Premium,$0.32,$0.38,$0.44,$0.50,,Bicolor Pink - Hot Pink,Lady Amira,Super Premium,$0.35,$0.42,$0.48,$0.55
,Medium Pink,Sweet Unique,Premium,$0.26,$0.34,$0.38,$0.44,,Medium Pink,Sweet Unique,Premium,$0.29,$0.37,$0.42,$0.48
,Light Pink,Christa,Super Premium,$0.32,$0.38,$0.44,$0.50,,Light Pink,Christa,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Flirty,Novelties,$0.40,$0.50,$0.60,$0.70,,,Flirty,Novelties,$0.44,$0.55,$0.66,$0.77
,,Country Secret,Novelties,$0.40,$0.50,$0.60,$0.70,,,Country Secret,Novelties,$0.44,$0.55,$0.66,$0.77
,,Frutteto,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Frutteto,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Luciano,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Luciano,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Pink Mondial,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Pink Mondial,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Pink O'Hara,Garden,$0.55,$0.70,$0.80,,,,Pink O'Hara,Garden,$0.61,$0.77,$0.88,
,,Pink X-Pression,Garden,$0.55,$0.70,$0.80,,,,Pink X-Pression,Garden,$0.61,$0.77,$0.88,
,,Sophie,Premium,$0.26,$0.34,$0.38,$0.44,,,Sophie,Premium,$0.29,$0.37,$0.42,$0.48
,,Sweet Akito,Premium,$0.26,$0.34,$0.38,$0.44,,,Sweet Akito,Premium,$0.29,$0.37,$0.42,$0.48
,Pink,Candy X-Pression,Garden,$0.55,$0.70,$0.80,,,Pink,Candy X-Pression,Garden,$0.61,$0.77,$0.88,
,,Marlysee,Premium,$0.26,$0.34,$0.38,$0.44,,,Marlysee,Premium,$0.29,$0.37,$0.42,$0.48
,,Novia,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Novia,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Romina,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Romina,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Saga,Premium,$0.26,$0.34,$0.38,$0.44,,,Saga,Premium,$0.29,$0.37,$0.42,$0.48
,Hot Pink,Tina,Premium,$0.26,$0.34,$0.38,$0.44,,Hot Pink,Tina,Premium,$0.29,$0.37,$0.42,$0.48
,,Full Monty,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Full Monty,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Hot Princess,Premium,$0.26,$0.34,$0.38,$0.44,,,Hot Princess,Premium,$0.29,$0.37,$0.42,$0.48
,,Lola,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Lola,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Mayra Bright,Garden,$0.55,$0.70,$0.80,,,,Mayra Bright,Garden,$0.61,$0.77,$0.88,
,,Pink Floyd,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Pink Floyd,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Pink Love,Premium,$0.26,$0.34,$0.38,$0.44,,,Pink Love,Premium,$0.29,$0.37,$0.42,$0.48
,,Queen Berry,Premium,$0.26,$0.34,$0.38,$0.44,,,Queen Berry,Premium,$0.29,$0.37,$0.42,$0.48
,,V.I. Pink,Super Premium,$0.32,$0.38,$0.44,$0.50,,,V.I. Pink,Super Premium,$0.35,$0.42,$0.48,$0.55
,Orange,High Orange Magic,Premium,$0.26,$0.34,$0.38,$0.44,,Orange,High Orange Magic,Premium,$0.29,$0.37,$0.42,$0.48
,,Hilux,Premium,$0.26,$0.34,$0.38,$0.44,,,Hilux,Premium,$0.29,$0.37,$0.42,$0.48
,,Lumia,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Lumia,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Nina,Premium,$0.26,$0.34,$0.38,$0.44,,,Nina,Premium,$0.29,$0.37,$0.42,$0.48
,,Orange Crush,Premium,$0.26,$0.34,$0.38,$0.44,,,Orange Crush,Premium,$0.29,$0.37,$0.42,$0.48
,,Free Spirit,Novelties,$0.40,$0.50,$0.60,$0.70,,,Free Spirit,Novelties,$0.44,$0.55,$0.66,$0.77
,,Aquarelle,Garden,$0.55,$0.70,$0.80,,,,Aquarelle,Garden,$0.61,$0.77,$0.88,
,Peach,Carpe Diem,Garden,$0.55,$0.70,$0.80,,,Peach,Carpe Diem,Garden,$0.61,$0.77,$0.88,
,,Country Louise,Garden,$0.55,$0.70,$0.80,,,,Country Louise,Garden,$0.61,$0.77,$0.88,
,,Kahala,Novelties,$0.40,$0.50,$0.60,$0.70,,,Kahala,Novelties,$0.44,$0.55,$0.66,$0.77
,,Phoenix,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Phoenix,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Mayra Peach,Garden,$0.55,$0.70,$0.80,,,,Mayra Peach,Garden,$0.61,$0.77,$0.88,
,,Shine On,Garden,$0.55,$0.70,$0.80,,,,Shine On,Garden,$0.61,$0.77,$0.88,
,,Shimmer,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Shimmer,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Tiffany,Premium,$0.26,$0.34,$0.38,$0.44,,,Tiffany,Premium,$0.29,$0.37,$0.42,$0.48
,Cream,Country Candy,Garden,$0.55,$0.70,$0.80,,,Cream,Country Candy,Garden,$0.61,$0.77,$0.88,
,,Creme De La Creme,Premium,$0.26,$0.34,$0.38,$0.44,,,Creme De La Creme,Premium,$0.29,$0.37,$0.42,$0.48
,,Quicksand,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Quicksand,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Soul,Premium,$0.26,$0.34,$0.38,$0.44,,,Soul,Premium,$0.29,$0.37,$0.42,$0.48
,Yellow,Brighton,Super Premium,$0.32,$0.38,$0.44,$0.50,,Yellow,Brighton,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Giselle,Premium,$0.26,$0.34,$0.38,$0.44,,,Giselle,Premium,$0.29,$0.37,$0.42,$0.48
,,Goldfinch,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Goldfinch,Super Premium,$0.35,$0.42,$0.48,$0.55
,,High & Yellow Magic,Premium,$0.26,$0.34,$0.38,$0.44,,,High & Yellow Magic,Premium,$0.29,$0.37,$0.42,$0.48
,,High Exotic,Premium,$0.26,$0.34,$0.38,$0.44,,,High Exotic,Premium,$0.29,$0.37,$0.42,$0.48
,,King'S Cross,Novelties,$0.40,$0.50,$0.60,$0.70,,,King'S Cross,Novelties,$0.44,$0.55,$0.66,$0.77
,,Momentum,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Momentum,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Stardust,Premium,$0.26,$0.34,$0.38,$0.44,,,Stardust,Premium,$0.29,$0.37,$0.42,$0.48
,,Summer Romance,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Summer Romance,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Super Sun,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Super Sun,Super Premium,$0.35,$0.42,$0.48,$0.55
,Bicolor Yellow - Red,High & Magic,Premium,$0.26,$0.34,$0.38,$0.44,,Bicolor Yellow - Red,High & Magic,Premium,$0.29,$0.37,$0.42,$0.48
,,Hot Sauce,Premium,$0.26,$0.34,$0.38,$0.44,,,Hot Sauce,Premium,$0.29,$0.37,$0.42,$0.48
,Bicolor Yellow - Orange,Silantoi,Super Premium,$0.32,$0.38,$0.44,$0.50,,Bicolor Yellow - Orange,Silantoi,Super Premium,$0.35,$0.42,$0.48,$0.55
,Bicolor Yellow - Pink,Light Spirit,Garden,$0.55,$0.70,$0.80,,,Bicolor Yellow - Pink,Light Spirit,Garden,$0.61,$0.77,$0.88,
,Lavender,Blue Dream,Super Premium,$0.32,$0.38,$0.44,$0.50,,Lavender,Blue Dream,Super Premium,$0.35,$0.42,$0.48,$0.55
,,Cool Water,Premium,$0.26,$0.34,$0.38,$0.44,,,Cool Water,Premium,$0.29,$0.37,$0.42,$0.48
,,Country Blues,Novelties,$0.40,$0.50,$0.60,$0.70,,,Country Blues,Novelties,$0.44,$0.55,$0.66,$0.77
,,Deep Purple,Premium,$0.26,$0.34,$0.38,$0.44,,,Deep Purple,Premium,$0.29,$0.37,$0.42,$0.48
,,Moody Blues,Premium,$0.26,$0.34,$0.38,$0.44,,,Moody Blues,Premium,$0.29,$0.37,$0.42,$0.48
,,Ocean Song,Premium,$0.26,$0.34,$0.38,$0.44,,,Ocean Song,Premium,$0.29,$0.37,$0.42,$0.48
,,Queen'S Crown,Novelties,$0.40,$0.50,$0.60,$0.70,,,Queen'S Crown,Novelties,$0.44,$0.55,$0.66,$0.77
,,** Peonikiss**,Exclusive,$0.70,$0.80,$0.90,,,,** Peonikiss**,Exclusive,$0.77,$0.88,$0.99,
,,Star Platinum,Super Premium,$0.32,$0.38,$0.44,$0.50,,,Star Platinum,Super Premium,$0.35,$0.42,$0.48,$0.55
,Purple,Ascot,Novelties,$0.40,$0.50,$0.60,$0.70,,Purple,Ascot,Novelties,$0.44,$0.55,$0.66,$0.77
,Brown,Barista,Novelties,$0.40,$0.50,$0.60,$0.70,,Brown,Barista,Novelties,$0.44,$0.55,$0.66,$0.77
,Assorted colors,Assorted,Assorted,$0.26,$0.34,$0.38,$0.44,,Assorted colors,Assorted,Assorted,$0.29,$0.37,$0.42,$0.48
